URL handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Option1 value,Option2 name,Option2 value,SKU,Barcode,Price,Compare-at price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description
hl014-nora-pointed-pump,Nora pointed pump,<p>Pointed-toe pump in genuine leather with an 8.5 cm heel and a lightly padded insole. Runs true to size.</p>,BELLUCCI,Apparel & Accessories > Shoes,Heels,"HEEL,LTHR,H3,BLK,BEI,ES,Made in Spain",FALSE,draft,Colour,Black,Size,35,HL014-BLK-35,,75.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,Nora pointed pump | BELLUCCI,Pointed-toe pump in genuine leather with an 8.5 cm heel and a lightly padded insole. Runs true to size.
hl014-nora-pointed-pump,,,,,,,,,Colour,Black,Size,36,HL014-BLK-36,,75.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Black,Size,37,HL014-BLK-37,,75.00,,,TRUE,shopify,4,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Black,Size,38,HL014-BLK-38,,75.00,,,TRUE,shopify,5,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Black,Size,39,HL014-BLK-39,,75.00,,,TRUE,shopify,5,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Black,Size,40,HL014-BLK-40,,75.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Black,Size,41,HL014-BLK-41,,75.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Beige,Size,35,HL014-BEI-35,,75.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Beige,Size,36,HL014-BEI-36,,75.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Beige,Size,37,HL014-BEI-37,,75.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Beige,Size,38,HL014-BEI-38,,75.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Beige,Size,39,HL014-BEI-39,,75.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Beige,Size,40,HL014-BEI-40,,75.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
hl014-nora-pointed-pump,,,,,,,,,Colour,Beige,Size,41,HL014-BEI-41,,75.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,Mira ballet flat,<p>Soft suede ballet flat with a padded footbed and a slim almond toe. Everyday comfort that stays neat.</p>,BELLUCCI,Apparel & Accessories > Shoes,Flats,"FLAT,SUED,H0,BLK,PNK,NAV,ES,Made in Spain",FALSE,draft,Colour,Black,Size,35,FL021-BLK-35,,55.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,Mira ballet flat | BELLUCCI,Soft suede ballet flat with a padded footbed and a slim almond toe. Everyday comfort that stays neat.
fl021-mira-ballet-flat,,,,,,,,,Colour,Black,Size,36,FL021-BLK-36,,55.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Black,Size,37,FL021-BLK-37,,55.00,,,TRUE,shopify,5,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Black,Size,38,FL021-BLK-38,,55.00,,,TRUE,shopify,6,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Black,Size,39,FL021-BLK-39,,55.00,,,TRUE,shopify,6,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Black,Size,40,FL021-BLK-40,,55.00,,,TRUE,shopify,4,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Black,Size,41,FL021-BLK-41,,55.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Pink,Size,35,FL021-PNK-35,,55.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Pink,Size,36,FL021-PNK-36,,55.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Pink,Size,37,FL021-PNK-37,,55.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Pink,Size,38,FL021-PNK-38,,55.00,,,TRUE,shopify,4,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Pink,Size,39,FL021-PNK-39,,55.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Pink,Size,40,FL021-PNK-40,,55.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Pink,Size,41,FL021-PNK-41,,55.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Navy,Size,35,FL021-NAV-35,,55.00,,,TRUE,shopify,0,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Navy,Size,36,FL021-NAV-36,,55.00,,,TRUE,shopify,1,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Navy,Size,37,FL021-NAV-37,,55.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Navy,Size,38,FL021-NAV-38,,55.00,,,TRUE,shopify,3,deny,800,g,TRUE,manual,,,,,FALSE,,
fl021-mira-ballet-flat,,,,,,,,,Colour,Navy,Size,39,FL021-NAV-39,,55.00,,,TRUE,shopify,2,deny,800,g,TRUE,manual,,,,,FALSE,,
